series,country,code,yr2000,yr2001,yr2002,yr2003,yr2004,yr2005,yr2006,yr2007,yr2008,yr2009,yr2010,yr2011,yr2012,yr2013,yr2014,yr2015
Mobile cellular subscriptions (per 100 people),Afghanistan,AFG,0,0,0.119046168,0.883192104,2.547386592,4.915778177,9.905952707,18.02123984,29.88931593,38.34172829,36.23965543,47.17359546,50.35079702,53.28634042,56.26314295,58.39109599
Mobile cellular subscriptions (per 100 people),Albania,ALB,0.936229188,12.45080244,27.24463279,35.56428066,41.12783099,50.45923775,63.59103905,78.03664144,63.00230139,84.07120051,92.41340015,106.8724501,121.0154371,127.67458,116.4887372,117.9871153
Mobile cellular subscriptions (per 100 people),Algeria,DZA,0.279451045,0.320502702,1.423710128,4.51376415,15.0181054,41.45244865,62.80216467,81.10540402,78.19436226,92.99292417,91.42082361,97.46161442,100.7169538,103.9905106,111.7079111,109.3176407
Mobile cellular subscriptions (per 100 people),American Samoa,ASM,3.420917053,3.696591455,3.499664816,3.624439075,3.904487558,0,0,0,0,0,0,0,0,0,0,0
Mobile cellular subscriptions (per 100 people),Andorra,AND,35.61832431,43.39280448,46.28218157,70.21296747,75.86601328,80.87590509,86.01844926,81.23912599,84.41522582,87.40318475,91.57706344,92.17208933,89.93550386,89.58187372,92.48694535,99.42853957
Mobile cellular subscriptions (per 100 people),Angola,AGO,0.157410653,0.442697606,0.799262897,1.931104589,3.942225093,8.282974634,15.15012642,23.72841216,31.22582177,36.02958262,40.24692066,49.76776766,50.75814192,50.80964158,51.80029281,49.36244924
Mobile cellular subscriptions (per 100 people),Antigua and Barbuda,ATG,29.31183799,32.80194187,49.49154738,59.04654558,68.40551805,107.67632,136.1958564,137.0232638,164.0725036,159.6103343,196.009102,202.940193,145.2893674,129.2224595,134.5208212,195.6860129
Mobile cellular subscriptions (per 100 people),Argentina,ARG,17.5015229,17.98746665,17.33333812,20.48748472,34.94389378,56.70883514,79.81991978,101.3182303,115.4815533,128.9999606,138.8859542,146.2467408,153.3349717,158.9154655,142.9902363,142.9639551
Mobile cellular subscriptions (per 100 people),Armenia,ARM,0.551865964,0.814009232,2.297846274,3.708664629,6.631634399,10.43709632,41.62457715,62.45557755,48.33377522,73.92986395,131.1938086,109.6360981,114.013624,115.3337511,119.696221,120.3535058
Mobile cellular subscriptions (per 100 people),Aruba,ABW,16.83482789,58.44084243,67.33419771,75.45981165,105.1838786,109.4556693,114.0409598,117.3566698,123.2764603,129.0166512,131.3507803,0,132.2077719,134.9144635,134.8533699,135.2427175
