series,country,code,yr2000,yr2001,yr2002,yr2003,yr2004,yr2005,yr2006,yr2007,yr2008,yr2009,yr2010,yr2011,yr2012,yr2013,yr2014,yr2015
Energy use (kg of oil equivalent per capita),Afghanistan,AFG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Energy use (kg of oil equivalent per capita),Albania,ALB,580.494764208924,597.265252650749,660.04798411018,648.168387059418,715.414483080102,719.584378082987,706.859407721917,679.861765101008,710.748498463347,732.316681804627,729.154372728518,764.968616564465,687.896259861998,801.329975005976,808.455839595944,0
Energy use (kg of oil equivalent per capita),Algeria,DZA,873.502668417859,863.343436248463,911.280286014525,955.674910891154,954.132221349292,979.149602577817,1032.45613351564,1077.47584808117,1070.54386510069,1148.5747501898,1107.72719068152,1133.1648627486,1220.98122820794,1238.59567345603,1318.00885452686,0
Energy use (kg of oil equivalent per capita),American Samoa,ASM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Energy use (kg of oil equivalent per capita),Andorra,AND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Energy use (kg of oil equivalent per capita),Angola,AGO,443.982288464328,448.230534904684,453.221400025474,472.276973683037,468.749178446103,436.773919413145,461.879996776463,474.572709823361,494.645657943,517.504370889681,522.335969469614,521.830428428821,550.839693734785,530.704374671802,540.218283215766,0
Energy use (kg of oil equivalent per capita),Antigua and Barbuda,ATG,0,0,0,0,1714.96080996964,1720.86771928502,1774.10550344896,1786.93821599922,0,0,0,0,0,0,0,0
Energy use (kg of oil equivalent per capita),Argentina,ARG,1654.12993674636,1556.31862739561,1496.50847296913,1584.79174705203,1713.79093565639,1706.4641370817,1837.50365168543,1842.95228976916,1921.15316815088,1848.35063936502,1905.28540331162,1930.10450829198,1917.12162318991,1949.49041806068,2013.19377703705,0
Energy use (kg of oil equivalent per capita),Armenia,ARM,625.438514793083,624.492496419453,586.404775298456,622.534799685782,661.870833201681,798.4706331045,818.198970291964,918.08135418678,973.103883903988,851.262230919765,815.55471623752,896.848640972291,982.306471346847,959.748841826605,981.730373614706,0
Energy use (kg of oil equivalent per capita),Aruba,ABW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Energy use (kg of oil equivalent per capita),Australia,AUS,5680.90287554624,5486.05610016985,5614.26334981772,5618.08648429316,5652.7633305677,5624.19201932671,5778.28181808136,5868.34089844726,5964.66605635347,5862.5646464103,5793.11602573559,5745.23218954465,5575.28709327857,5468.39136879598,5334.68167873774,5483.81640154023
Energy use (kg of oil equivalent per capita),Austria,AUT,3570.49882632185,3758.45756925295,3773.65172816435,3973.6243266728,4007.56990423112,4085.56765095628,4078.81222561241,4019.59016993216,4032.14842619644,3798.15116830548,4051.19602018508,3921.90051459529,3886.76773201774,3919.04441873374,3763.3279025587,3800.29942035468
Energy use (kg of oil equivalent per capita),Azerbaijan,AZE,1403.43326789752,1410.96545517309,1414.52811140548,1476.59088424964,1539.23012098959,1599.9606761322,1559.56874554337,1411.557339797,1520.31391925508,1334.16617834119,1279.552594272,1369.35099893362,1472.89739090323,1474.00343280059,1502.07816841371,0
Energy use (kg of oil equivalent per capita),"Bahamas, The",BHS,0,0,0,0,1954.1941597848,2023.87945122625,2026.55184786509,2006.59998754719,0,0,0,0,0,0,0,0
Energy use (kg of oil equivalent per capita),Bahrain,BHR,12497.015285877,12381.2700736108,11948.2895716435,11781.2435825495,10975.7350914911,11679.9516663629,11579.9636410585,11197.4261398352,11432.5688538971,10397.6332616268,10310.2089222762,10602.2844805945,10386.5251570766,10933.9757467138,10769.9644444309,0
