Country,Happiness Score - 2012,Happiness Score - 2013,Happiness Score - 2015,Happiness Score - 2016,Happiness Score - 2017,Happiness Score - 2018,Happiness Score - 2019,Happiness Score - 2020,Happiness Score - 2021,Happiness Score - 2022,Happiness Score - 2023,Happiness Score - 2024
Afghanistan,0.0,4.04,3.92,3.36,3.79,3.63,3.2,2.56,2.52,2.4,1.85,1.72
Albania,4.96,5.55,5.16,4.65,4.64,4.58,4.71,4.88,5.11,5.19,5.27,5.3
Algeria,5.67,5.42,5.46,6.35,5.87,5.29,5.21,5.0,4.88,5.12,5.32,5.36
Andorra,7.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angola,0.0,5.58,4.4,3.86,3.79,3.79,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,7.33,6.56,6.41,6.65,6.59,6.38,6.08,5.97,5.92,5.96,6.02,6.18
Armenia,4.31,4.31,4.4,4.36,4.37,4.32,4.55,4.67,5.28,5.39,5.34,5.45
Australia,7.44,7.35,7.31,7.31,7.28,7.27,7.22,7.22,7.18,7.16,7.09,7.05
Austria,8.01,7.36,7.23,7.11,7.0,7.13,7.24,7.29,7.26,7.16,7.09,6.9
Azerbaijan,5.39,4.6,4.81,5.29,5.23,5.2,5.2,5.16,5.17,5.17,0.0,4.89
Bahrain,0.0,5.31,5.64,6.21,6.08,6.1,6.19,6.22,6.64,6.64,6.17,5.95
Bangladesh,6.09,4.8,4.76,4.64,4.6,4.5,4.45,4.83,5.02,5.15,4.28,3.88
Belarus,4.34,5.5,5.61,5.8,5.56,5.48,5.32,5.53,5.53,5.82,0.0,0.0
Belgium,7.56,6.96,7.03,6.92,6.89,6.92,6.92,6.86,6.83,6.8,6.85,6.89
Belize,0.0,0.0,6.45,5.95,5.95,5.95,0.0,0.0,0.0,0.0,0.0,0.0
Benin,0.0,3.52,3.47,3.48,3.65,4.14,4.88,5.21,5.04,4.62,4.37,4.37
Bhutan,0.0,0.0,5.25,5.19,5.01,5.08,5.08,0.0,0.0,0.0,0.0,0.0
Bolivia,0.0,5.85,5.72,5.82,5.82,5.75,5.77,5.74,5.71,5.6,5.68,5.78
Bosnia and Herzegovina,5.61,0.0,4.9,5.16,5.18,5.12,5.38,5.67,5.81,5.76,5.63,5.87
Botswana,0.0,3.97,4.31,3.97,3.76,3.59,3.48,3.47,3.46,3.47,3.43,3.38
Brazil,7.43,6.84,6.84,6.95,6.63,6.41,6.3,6.37,6.33,6.29,6.12,6.27
